From,measurement.ID,sites.sitename,plot.name,stand.age,citation.ID,variable.name,mean,GROA.measurement.ID,Notes,corrected.in.ForC,for.list,entered.list,double.checked.in.list
ForC,11547,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,84.3,NA,ForC measurements incorrect,1,duplicate of 5492,1,1
ForC,11548,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,79.7,NA,ForC measurements incorrect,1,NA,1,1
GROA,5492,Porce II chronosequence 2,3683,15,Sierra_2012_tcai,biomass_ag_OM,83.6,5492,NA,0,duplicate of 11547,1,1
ForC,11545,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,50.4,NA,ForC measurements incorrect,1,NA,1,1
ForC,11546,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,112.2,NA,ForC measurements incorrect,1,NA,1,1
ForC,11547,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,84.3,NA,ForC measurements incorrect,1,NA,1,1
ForC,11548,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,79.7,NA,ForC measurements incorrect,1,duplicate of 5498,1,1
GROA,5498,Porce II chronosequence 2,3684,15,Sierra_2012_tcai,biomass_ag_OM,78.8,5498,NA,0,duplicate of 11548,1,1
ForC,11517,Porce II chronosequence 2,Forest recovery following agricultural abandonment.13y,13,Sierra_2012_tcai,biomass_ag_OM,51.1,NA,ForC measurements incorrect,1,duplicate of 5504,1,1
GROA,5504,Porce II chronosequence 2,3685,13,Sierra_2012_tcai,biomass_ag_OM,50.3,5504,NA,0,duplicate of 11517,1,1
ForC,11658,Porce II chronosequence 2,Forest recovery following agricultural abandonment.9y,9,Sierra_2012_tcai,biomass_ag_OM,51,NA,ForC measurements incorrect,1,NA,1,1
ForC,11659,Porce II chronosequence 2,Forest recovery following agricultural abandonment.9y,9,Sierra_2012_tcai,biomass_ag_OM,57.7,NA,ForC measurements incorrect,1,duplicate of 5510,1,1
GROA,5510,Porce II chronosequence 2,3686,9,Sierra_2012_tcai,biomass_ag_OM,56.9,5510,NA,0,duplicate of 11659,1,1
ForC,11527,Porce II chronosequence 2,Forest recovery following agricultural abandonment.14y,14,Sierra_2012_tcai,biomass_ag_OM,128.1,NA,ForC measurements incorrect,1,NA,1,1
ForC,11528,Porce II chronosequence 2,Forest recovery following agricultural abandonment.14y,14,Sierra_2012_tcai,biomass_ag_OM,70.8,NA,ForC measurements incorrect,1,duplicate of 5516,1,1
GROA,5516,Porce II chronosequence 2,3687,14,Sierra_2012_tcai,biomass_ag_OM,70.1,5516,NA,0,duplicate of 11528,1,1
ForC,12583,S village Karen area swidden cultivation fallow chronosequence,Forest recovery following shifting cultivation.1-y,1,Fukushima_2007_rpof,biomass_ag_OM,6.6,NA,NA,0,NA,1,1
ForC,12584,S village Karen area swidden cultivation fallow chronosequence,Forest recovery following shifting cultivation.1-y,1,Fukushima_2007_rpof,biomass_ag_OM,0.1,NA,ForC measurement correct,0,duplicate of 5599,1,1
GROA,5599,S village Karen area swidden cultivation fallow chronosequence,9152,1,Fukushima_2007_rpof,biomass_ag_OM,42.7,5599,should be 0.1,0,duplicate of 12584,1,1
ForC,16960,Y site,natural regeneration of ponderosa pine forest 21 years since clearcut,21,Law_2001_csaf,organic.layer_C,7.08,NA,ForC measurement correct,0,NA,1,1
GROA,5730,Y site,3730,21,Law_2001_csaf,organic.layer_C,41.65,5730,Sum of various debris; litter pools,0,NA,1,1
ForC,4699,El Eden Ecological Reserve fire chronosequence,Forest recovery following fire.4-y,4,Vargas_2008_baca,biomass_ag_OM,20.6,NA,total AGB-dead wood,0,NA,1,1
GROA,4424,El Eden Ecological Reserve fire chronosequence,3280,4,Vargas_2008_baca,biomass_ag_OM,9.8,4424,took greater than 10 DBH,0,NA,1,1
ForC,4700,El Eden Ecological Reserve fire chronosequence,Forest recovery following fire.4-y,5,Vargas_2008_baca,biomass_ag_OM,19.8,NA,total AGB-dead wood,0,NA,1,1
GROA,4425,El Eden Ecological Reserve fire chronosequence,3280,5,Vargas_2008_baca,biomass_ag_OM,10.8,4425,took greater than 10 DBH,0,NA,1,1
ForC,4707,El Eden Ecological Reserve fire chronosequence,Forest recovery following fire.8-y,8,Vargas_2008_baca,biomass_ag_OM,33.7,NA,total AGB-dead wood,0,NA,1,1
GROA,4432,El Eden Ecological Reserve fire chronosequence,3281,8,Vargas_2008_baca,biomass_ag_OM,30,4432,took greater than 10 DBH,0,NA,1,1
ForC,4708,El Eden Ecological Reserve fire chronosequence,Forest recovery following fire.8-y,9,Vargas_2008_baca,biomass_ag_OM,36.9,NA,total AGB-dead wood,0,NA,1,1
GROA,4433,El Eden Ecological Reserve fire chronosequence,3281,9,Vargas_2008_baca,biomass_ag_OM,31.2,4433,took greater than 10 DBH,0,NA,1,1
ForC,4683,El Eden Ecological Reserve fire chronosequence,Forest recovery following fire.14-y,14,Vargas_2008_baca,biomass_ag_OM,51.9,NA,total AGB-dead wood,0,NA,1,1
GROA,4440,El Eden Ecological Reserve fire chronosequence,3282,14,Vargas_2008_baca,biomass_ag_OM,45.8,4440,took greater than 10 DBH,0,NA,1,1
ForC,4684,El Eden Ecological Reserve fire chronosequence,Forest recovery following fire.14-y,15,Vargas_2008_baca,biomass_ag_OM,61.9,NA,total AGB-dead wood,0,NA,1,1
GROA,4441,El Eden Ecological Reserve fire chronosequence,3282,15,Vargas_2008_baca,biomass_ag_OM,55.1,4441,took greater than 10 DBH,0,NA,1,1
ForC,4691,El Eden Ecological Reserve fire chronosequence,Forest recovery following fire.28-y,28,Vargas_2008_baca,biomass_ag_OM,77.7,NA,total AGB-dead wood,0,NA,1,1
GROA,4448,El Eden Ecological Reserve fire chronosequence,3283,28,Vargas_2008_baca,biomass_ag_OM,76.9,4448,took greater than 10 DBH,0,NA,1,1
ForC,4692,El Eden Ecological Reserve fire chronosequence,Forest recovery following fire.28-y,29,Vargas_2008_baca,biomass_ag_OM,75.4,NA,total AGB-dead wood,0,NA,1,1
GROA,4449,El Eden Ecological Reserve fire chronosequence,3283,29,Vargas_2008_baca,biomass_ag_OM,72.9,4449,took greater than 10 DBH,0,NA,1,1
ForC,10830,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,10,Becknell_2014_saas,biomass_ag_OM,50.8,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1148,Parque Nacional Palo Verde: area de Conservacion Tempisque,1793,10,Becknell_2014_saas,biomass_ag_OM,1.7,1148,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10831,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,12,Becknell_2014_saas,biomass_ag_OM,64.8,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1150,Parque Nacional Palo Verde: area de Conservacion Tempisque,1795,12,Becknell_2014_saas,biomass_ag_OM,97.9,1150,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10834,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,15,Becknell_2014_saas,biomass_ag_OM,104.4,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1151,Parque Nacional Palo Verde: area de Conservacion Tempisque,1796,15,Becknell_2014_saas,biomass_ag_OM,95.4,1151,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10837,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,21,Becknell_2014_saas,biomass_ag_OM,132.7,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1154,Parque Nacional Palo Verde: area de Conservacion Tempisque,1799,21,Becknell_2014_saas,biomass_ag_OM,133.6,1154,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10839,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,25,Becknell_2014_saas,biomass_ag_OM,126.2,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1155,Parque Nacional Palo Verde: area de Conservacion Tempisque,1800,25,Becknell_2014_saas,biomass_ag_OM,100.3,1155,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10839,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,25,Becknell_2014_saas,biomass_ag_OM,126.2,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1156,Parque Nacional Palo Verde: area de Conservacion Tempisque,1801,25,Becknell_2014_saas,biomass_ag_OM,164.8,1156,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10839,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,25,Becknell_2014_saas,biomass_ag_OM,126.2,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1157,Parque Nacional Palo Verde: area de Conservacion Tempisque,1802,25,Becknell_2014_saas,biomass_ag_OM,90.3,1157,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10839,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,25,Becknell_2014_saas,biomass_ag_OM,126.2,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1158,Parque Nacional Palo Verde: area de Conservacion Tempisque,1803,25,Becknell_2014_saas,biomass_ag_OM,65.7,1158,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10840,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,30,Becknell_2014_saas,biomass_ag_OM,114,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1159,Parque Nacional Palo Verde: area de Conservacion Tempisque,1804,30,Becknell_2014_saas,biomass_ag_OM,200.4,1159,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10840,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,30,Becknell_2014_saas,biomass_ag_OM,114,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1160,Parque Nacional Palo Verde: area de Conservacion Tempisque,1805,30,Becknell_2014_saas,biomass_ag_OM,128.5,1160,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10829,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,8,Becknell_2014_saas,biomass_ag_OM,75,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1166,Parque Nacional Palo Verde: area de Conservacion Tempisque,1811,8,Becknell_2014_saas,biomass_ag_OM,52.3,1166,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10831,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,12,Becknell_2014_saas,biomass_ag_OM,64.8,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1168,Parque Nacional Palo Verde: area de Conservacion Tempisque,1813,12,Becknell_2014_saas,biomass_ag_OM,91.5,1168,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10832,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,13,Becknell_2014_saas,biomass_ag_OM,61.7,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1169,Parque Nacional Palo Verde: area de Conservacion Tempisque,1814,13,Becknell_2014_saas,biomass_ag_OM,50.2,1169,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10834,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,15,Becknell_2014_saas,biomass_ag_OM,104.4,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1170,Parque Nacional Palo Verde: area de Conservacion Tempisque,1815,15,Becknell_2014_saas,biomass_ag_OM,88.1,1170,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10834,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,15,Becknell_2014_saas,biomass_ag_OM,104.4,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1171,Parque Nacional Palo Verde: area de Conservacion Tempisque,1816,15,Becknell_2014_saas,biomass_ag_OM,39.2,1171,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10835,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,17,Becknell_2014_saas,biomass_ag_OM,149.2,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1172,Parque Nacional Palo Verde: area de Conservacion Tempisque,1817,17,Becknell_2014_saas,biomass_ag_OM,79.8,1172,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10839,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,25,Becknell_2014_saas,biomass_ag_OM,126.2,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
GROA,1177,Parque Nacional Palo Verde: area de Conservacion Tempisque,1822,25,Becknell_2014_saas,biomass_ag_OM,172,1177,different stand ages; correct in both sets; naming error,0,NA,1,1
ForC,10839,Parque Nacional Palo Verde: area de Conservacion Tempisque,Forest recovery following pasture and agricultural abandonment,25,Becknell_2014_saas,biomass_ag_OM,126.2,NA,different stand ages; correct in both sets; naming error,0,NA,1,1
