"","measurement.id","plot.id","site.id","study.id","citations.title","sites.sitename","refor.type","species","prior","prior.duration","stand.age","date","n","sub_n","plot.size","variables.name","mean_ha","covar_1","coV1_value","covar_2","coV2_value","covar_3","coV3_value","density","sand.silt.clay","pH","allometry","measurements.notes","X"
"11",571,8888,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",5,NA,1,NA,0.0947,"aboveground_biomass",76.95580688,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"12",572,8889,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",5,NA,1,NA,0.0947,"aboveground_biomass",1.350482087,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"13",573,8890,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",5,NA,1,NA,0.0947,"aboveground_biomass",5.29284728,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"14",574,8891,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",5,NA,1,NA,0.0947,"aboveground_biomass",24.13827947,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"15",575,8892,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",5,NA,1,NA,0.0947,"aboveground_biomass",31.85555446,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"16",576,8893,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",5,NA,1,NA,0.0947,"aboveground_biomass",39.03212649,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"17",577,8894,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",5,NA,1,NA,0.0947,"aboveground_biomass",44.81674941,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"18",578,8895,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",5,NA,1,NA,0.0947,"aboveground_biomass",68.60745301,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"19",579,8896,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",6,NA,1,NA,0.0947,"aboveground_biomass",76.14274057,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"20",580,8897,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",6,NA,1,NA,0.0947,"aboveground_biomass",22.19328464,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"21",581,8898,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",6,NA,1,NA,0.0947,"aboveground_biomass",41.62513858,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"22",582,8899,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",7,NA,1,NA,0.0947,"aboveground_biomass",36.18826983,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"23",583,8900,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",7,NA,1,NA,0.0947,"aboveground_biomass",60.25477857,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"24",584,8901,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",7,NA,1,NA,0.0947,"aboveground_biomass",29.06989476,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"25",585,8902,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",12,NA,1,NA,0.0947,"aboveground_biomass",43.50688934,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"26",586,8903,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",12,NA,1,NA,0.0947,"aboveground_biomass",114.3194301,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"27",587,8904,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",12,NA,1,NA,0.0947,"aboveground_biomass",42.48257536,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"28",588,8905,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",12,NA,1,NA,0.0947,"aboveground_biomass",84.37725006,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"29",589,8906,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",12,NA,1,NA,0.0947,"aboveground_biomass",39.57249383,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"30",590,8907,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",14,NA,1,NA,0.0947,"aboveground_biomass",62.50373284,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"31",591,8908,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",16,NA,1,NA,0.0947,"aboveground_biomass",64.6122612,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"32",592,8909,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",17,NA,1,NA,0.0947,"aboveground_biomass",157.7551276,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"33",593,8910,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",20,NA,1,NA,0.0947,"aboveground_biomass",166.7552538,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"34",594,8911,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",20,NA,1,NA,0.0947,"aboveground_biomass",81.62872156,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"35",595,8912,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",50,NA,1,NA,0.0947,"aboveground_biomass",412.0160368,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"36",598,8913,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",1,NA,1,NA,0.0947,"aboveground_biomass",2.76822063,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"37",599,8914,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",2,NA,1,NA,0.0947,"aboveground_biomass",1.384142767,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"38",600,8915,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",4,NA,1,NA,0.0947,"aboveground_biomass",11.89781801,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"39",601,8916,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",4,NA,1,NA,0.0947,"aboveground_biomass",42.62012939,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"40",602,8917,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",5,NA,1,NA,0.0947,"aboveground_biomass",137.4471483,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"41",603,8918,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",5,NA,1,NA,0.0947,"aboveground_biomass",88.12589895,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"42",604,8919,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",5,NA,1,NA,0.0947,"aboveground_biomass",44.03453074,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"43",605,8920,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",5,NA,1,NA,0.0947,"aboveground_biomass",20.5191439,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"44",606,8921,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",5,NA,1,NA,0.0947,"aboveground_biomass",70.88928688,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"45",607,8922,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",6,NA,1,NA,0.0947,"aboveground_biomass",25.75768784,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"46",608,8923,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",7,NA,1,NA,0.0947,"aboveground_biomass",22.42568278,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"47",609,8924,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",7,NA,1,NA,0.0947,"aboveground_biomass",49.37813994,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"48",610,8925,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",7,NA,1,NA,0.0947,"aboveground_biomass",262.1478607,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"49",611,8926,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",7,NA,1,NA,0.0947,"aboveground_biomass",45.51471996,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"50",612,8927,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",7,NA,1,NA,0.0947,"aboveground_biomass",120.2059058,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"51",613,8928,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",7,NA,1,NA,0.0947,"aboveground_biomass",62.56459254,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"52",614,8929,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",8,NA,1,NA,0.0947,"aboveground_biomass",49.88753892,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"53",615,8930,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",8,NA,1,NA,0.0947,"aboveground_biomass",61.73062516,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"54",616,8931,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",10,NA,1,NA,0.0947,"aboveground_biomass",529.786765,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"55",617,8932,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",10,NA,1,NA,0.0947,"aboveground_biomass",61.04889868,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"56",618,8933,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",10,NA,1,NA,0.0947,"aboveground_biomass",38.64400171,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"57",619,8934,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",10,NA,1,NA,0.0947,"aboveground_biomass",91.7905557,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"58",620,8935,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",10,NA,1,NA,0.0947,"aboveground_biomass",65.49344538,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"59",621,8936,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",10,NA,1,NA,0.0947,"aboveground_biomass",242.3723941,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"60",622,8937,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",10,NA,1,NA,0.0947,"aboveground_biomass",104.1951442,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"61",623,8938,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",10,NA,1,NA,0.0947,"aboveground_biomass",54.67445518,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"62",624,8939,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",11,NA,1,NA,0.0947,"aboveground_biomass",106.4497859,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"63",625,8940,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",15,NA,1,NA,0.0947,"aboveground_biomass",88.14696486,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"64",626,8941,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",15,NA,1,NA,0.0947,"aboveground_biomass",119.7073908,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"65",627,8942,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",15,NA,1,NA,0.0947,"aboveground_biomass",317.7056797,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"66",628,8943,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",15,NA,1,NA,0.0947,"aboveground_biomass",101.8967674,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"67",629,8944,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",15,NA,1,NA,0.0947,"aboveground_biomass",134.5751214,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"68",630,8945,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",15,NA,1,NA,0.0947,"aboveground_biomass",125.6044133,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"69",631,8946,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",383.8889871,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"70",632,8947,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",264.3501674,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"71",633,8948,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",388.2245517,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"72",634,8949,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",379.7846516,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"73",635,8950,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",389.5266364,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"74",636,8951,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",212.1102172,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"75",637,8952,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",302.4344734,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"76",638,8953,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",414.6888966,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"77",639,8954,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",250.8757035,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"78",640,8955,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",154.929339,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"79",641,8956,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",128.4413208,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"80",642,8957,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",20,NA,1,NA,0.0947,"aboveground_biomass",112.2267701,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"81",643,8958,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",25,NA,1,NA,0.0947,"aboveground_biomass",223.0164542,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"82",644,8959,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",25,NA,1,NA,0.0947,"aboveground_biomass",348.1755394,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"83",645,8960,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",25,NA,1,NA,0.0947,"aboveground_biomass",28.62370394,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"84",646,8961,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",220.4678317,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"85",647,8962,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",133.461058,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"86",648,8963,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",194.4570619,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"87",649,8964,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",146.0023947,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"88",650,8965,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",765.6833134,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"89",651,8966,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",276.8351548,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"90",652,8967,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",961.0598778,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"91",653,8968,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",398.2549944,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"92",654,8969,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",284.6669026,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"93",655,8970,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",249.4286463,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"94",656,8971,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",170.5823896,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"95",657,8972,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",558.6630485,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"96",658,8973,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",96.65523527,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"97",659,8974,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",89.39314101,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"98",660,8975,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",30,NA,1,NA,0.0947,"aboveground_biomass",271.2796162,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"99",661,8976,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",31,NA,1,NA,0.0947,"aboveground_biomass",444.9876661,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"100",662,8977,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",31,NA,1,NA,0.0947,"aboveground_biomass",906.0806626,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"101",663,8978,9,1097,"Biomass resilience of Neotropical secondary forests","Lacandona","SNR","","SC/PA","",31,NA,1,NA,0.0947,"aboveground_biomass",676.4034155,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"102",12878,8796,10,9783,"Forest regeneration in a chronosequence of tropical abandoned pastures: Implications for restoration ecology","Luquillo","SNR","","PA","cane/coffee abandoned, then pasture",35,NA,1,NA,0.05,"aboveground_biomass",279.1566672,"min_dbh",5,"",NA,"","",9438,"",NA,"biome-specific","data from Poorter, averaged density",NA
"103",12879,8797,10,9783,"Forest regeneration in a chronosequence of tropical abandoned pastures: Implications for restoration ecology","Luquillo","SNR","","PA","cane/coffee abandoned, then pasture",37,NA,1,NA,0.05,"aboveground_biomass",179.6022613,"min_dbh",5,"",NA,"","",9438,"",NA,"biome-specific","data from Poorter, averaged density",NA
"104",12880,8798,10,9783,"Forest regeneration in a chronosequence of tropical abandoned pastures: Implications for restoration ecology","Luquillo","SNR","","PA","cane/coffee abandoned, then pasture",37,NA,1,NA,0.05,"aboveground_biomass",59.41228778,"min_dbh",5,"",NA,"","",9438,"",NA,"biome-specific","data from Poorter, averaged density",NA
