measurement.id,plot.id,site.id,study.id,sites.sitename,refor.type,species,prior,prior.disturbance.notes,stand.age,date,n,sub_n,plot.size,variables.name,mean_ha,covar_1,coV1_value,covar_2,coV2_value,covar_3,coV3_value,density,sand.silt.clay,allometry
580,8897,8,1097,Chinantla,SNR,,SC,,6,NA,1,NA,0.0947,aboveground_biomass,22.19328464,min_dbh,5,,NA,,,NA,,biome-specific
581,8898,8,1097,Chinantla,SNR,,SC,,6,NA,1,NA,0.0947,aboveground_biomass,41.62513858,min_dbh,5,,NA,,,NA,,biome-specific
582,8899,8,1097,Chinantla,SNR,,SC,,7,NA,1,NA,0.0947,aboveground_biomass,36.18826983,min_dbh,5,,NA,,,NA,,biome-specific
583,8900,8,1097,Chinantla,SNR,,SC,,7,NA,1,NA,0.0947,aboveground_biomass,60.25477857,min_dbh,5,,NA,,,NA,,biome-specific
584,8901,8,1097,Chinantla,SNR,,SC,,7,NA,1,NA,0.0947,aboveground_biomass,29.06989476,min_dbh,5,,NA,,,NA,,biome-specific
585,8902,8,1097,Chinantla,SNR,,SC,,12,NA,1,NA,0.0947,aboveground_biomass,43.50688934,min_dbh,5,,NA,,,NA,,biome-specific
586,8903,8,1097,Chinantla,SNR,,SC,,12,NA,1,NA,0.0947,aboveground_biomass,114.3194301,min_dbh,5,,NA,,,NA,,biome-specific
587,8904,8,1097,Chinantla,SNR,,SC,,12,NA,1,NA,0.0947,aboveground_biomass,42.48257536,min_dbh,5,,NA,,,NA,,biome-specific
588,8905,8,1097,Chinantla,SNR,,SC,,12,NA,1,NA,0.0947,aboveground_biomass,84.37725006,min_dbh,5,,NA,,,NA,,biome-specific
589,8906,8,1097,Chinantla,SNR,,SC,,12,NA,1,NA,0.0947,aboveground_biomass,39.57249383,min_dbh,5,,NA,,,NA,,biome-specific
590,8907,8,1097,Chinantla,SNR,,SC,,14,NA,1,NA,0.0947,aboveground_biomass,62.50373284,min_dbh,5,,NA,,,NA,,biome-specific
591,8908,8,1097,Chinantla,SNR,,SC,,16,NA,1,NA,0.0947,aboveground_biomass,64.6122612,min_dbh,5,,NA,,,NA,,biome-specific
592,8909,8,1097,Chinantla,SNR,,SC,,17,NA,1,NA,0.0947,aboveground_biomass,157.7551276,min_dbh,5,,NA,,,NA,,biome-specific
593,8910,8,1097,Chinantla,SNR,,SC,,20,NA,1,NA,0.0947,aboveground_biomass,166.7552538,min_dbh,5,,NA,,,NA,,biome-specific
594,8911,8,1097,Chinantla,SNR,,SC,,20,NA,1,NA,0.0947,aboveground_biomass,81.62872156,min_dbh,5,,NA,,,NA,,biome-specific
595,8912,8,1097,Chinantla,SNR,,SC,,50,NA,1,NA,0.0947,aboveground_biomass,412.0160368,min_dbh,5,,NA,,,NA,,biome-specific
598,8913,9,1097,Lacandona,SNR,,SC/PA,,1,NA,1,NA,0.0947,aboveground_biomass,2.76822063,min_dbh,5,,NA,,,NA,,biome-specific
599,8914,9,1097,Lacandona,SNR,,SC/PA,,2,NA,1,NA,0.0947,aboveground_biomass,1.384142767,min_dbh,5,,NA,,,NA,,biome-specific
600,8915,9,1097,Lacandona,SNR,,SC/PA,,4,NA,1,NA,0.0947,aboveground_biomass,11.89781801,min_dbh,5,,NA,,,NA,,biome-specific
601,8916,9,1097,Lacandona,SNR,,SC/PA,,4,NA,1,NA,0.0947,aboveground_biomass,42.62012939,min_dbh,5,,NA,,,NA,,biome-specific
602,8917,9,1097,Lacandona,SNR,,SC/PA,,5,NA,1,NA,0.0947,aboveground_biomass,137.4471483,min_dbh,5,,NA,,,NA,,biome-specific
603,8918,9,1097,Lacandona,SNR,,SC/PA,,5,NA,1,NA,0.0947,aboveground_biomass,88.12589895,min_dbh,5,,NA,,,NA,,biome-specific
604,8919,9,1097,Lacandona,SNR,,SC/PA,,5,NA,1,NA,0.0947,aboveground_biomass,44.03453074,min_dbh,5,,NA,,,NA,,biome-specific
605,8920,9,1097,Lacandona,SNR,,SC/PA,,5,NA,1,NA,0.0947,aboveground_biomass,20.5191439,min_dbh,5,,NA,,,NA,,biome-specific
606,8921,9,1097,Lacandona,SNR,,SC/PA,,5,NA,1,NA,0.0947,aboveground_biomass,70.88928688,min_dbh,5,,NA,,,NA,,biome-specific
607,8922,9,1097,Lacandona,SNR,,SC/PA,,6,NA,1,NA,0.0947,aboveground_biomass,25.75768784,min_dbh,5,,NA,,,NA,,biome-specific
608,8923,9,1097,Lacandona,SNR,,SC/PA,,7,NA,1,NA,0.0947,aboveground_biomass,22.42568278,min_dbh,5,,NA,,,NA,,biome-specific
609,8924,9,1097,Lacandona,SNR,,SC/PA,,7,NA,1,NA,0.0947,aboveground_biomass,49.37813994,min_dbh,5,,NA,,,NA,,biome-specific
610,8925,9,1097,Lacandona,SNR,,SC/PA,,7,NA,1,NA,0.0947,aboveground_biomass,262.1478607,min_dbh,5,,NA,,,NA,,biome-specific
611,8926,9,1097,Lacandona,SNR,,SC/PA,,7,NA,1,NA,0.0947,aboveground_biomass,45.51471996,min_dbh,5,,NA,,,NA,,biome-specific
612,8927,9,1097,Lacandona,SNR,,SC/PA,,7,NA,1,NA,0.0947,aboveground_biomass,120.2059058,min_dbh,5,,NA,,,NA,,biome-specific
613,8928,9,1097,Lacandona,SNR,,SC/PA,,7,NA,1,NA,0.0947,aboveground_biomass,62.56459254,min_dbh,5,,NA,,,NA,,biome-specific
614,8929,9,1097,Lacandona,SNR,,SC/PA,,8,NA,1,NA,0.0947,aboveground_biomass,49.88753892,min_dbh,5,,NA,,,NA,,biome-specific
615,8930,9,1097,Lacandona,SNR,,SC/PA,,8,NA,1,NA,0.0947,aboveground_biomass,61.73062516,min_dbh,5,,NA,,,NA,,biome-specific
616,8931,9,1097,Lacandona,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,529.786765,min_dbh,5,,NA,,,NA,,biome-specific
617,8932,9,1097,Lacandona,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,61.04889868,min_dbh,5,,NA,,,NA,,biome-specific
618,8933,9,1097,Lacandona,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,38.64400171,min_dbh,5,,NA,,,NA,,biome-specific
619,8934,9,1097,Lacandona,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,91.7905557,min_dbh,5,,NA,,,NA,,biome-specific
620,8935,9,1097,Lacandona,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,65.49344538,min_dbh,5,,NA,,,NA,,biome-specific
621,8936,9,1097,Lacandona,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,242.3723941,min_dbh,5,,NA,,,NA,,biome-specific
622,8937,9,1097,Lacandona,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,104.1951442,min_dbh,5,,NA,,,NA,,biome-specific
623,8938,9,1097,Lacandona,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,54.67445518,min_dbh,5,,NA,,,NA,,biome-specific
624,8939,9,1097,Lacandona,SNR,,SC/PA,,11,NA,1,NA,0.0947,aboveground_biomass,106.4497859,min_dbh,5,,NA,,,NA,,biome-specific
625,8940,9,1097,Lacandona,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,88.14696486,min_dbh,5,,NA,,,NA,,biome-specific
626,8941,9,1097,Lacandona,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,119.7073908,min_dbh,5,,NA,,,NA,,biome-specific
627,8942,9,1097,Lacandona,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,317.7056797,min_dbh,5,,NA,,,NA,,biome-specific
628,8943,9,1097,Lacandona,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,101.8967674,min_dbh,5,,NA,,,NA,,biome-specific
629,8944,9,1097,Lacandona,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,134.5751214,min_dbh,5,,NA,,,NA,,biome-specific
630,8945,9,1097,Lacandona,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,125.6044133,min_dbh,5,,NA,,,NA,,biome-specific
631,8946,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,383.8889871,min_dbh,5,,NA,,,NA,,biome-specific
632,8947,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,264.3501674,min_dbh,5,,NA,,,NA,,biome-specific
633,8948,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,388.2245517,min_dbh,5,,NA,,,NA,,biome-specific
634,8949,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,379.7846516,min_dbh,5,,NA,,,NA,,biome-specific
635,8950,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,389.5266364,min_dbh,5,,NA,,,NA,,biome-specific
636,8951,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,212.1102172,min_dbh,5,,NA,,,NA,,biome-specific
637,8952,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,302.4344734,min_dbh,5,,NA,,,NA,,biome-specific
638,8953,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,414.6888966,min_dbh,5,,NA,,,NA,,biome-specific
639,8954,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,250.8757035,min_dbh,5,,NA,,,NA,,biome-specific
640,8955,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,154.929339,min_dbh,5,,NA,,,NA,,biome-specific
641,8956,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,128.4413208,min_dbh,5,,NA,,,NA,,biome-specific
642,8957,9,1097,Lacandona,SNR,,SC/PA,,20,NA,1,NA,0.0947,aboveground_biomass,112.2267701,min_dbh,5,,NA,,,NA,,biome-specific
643,8958,9,1097,Lacandona,SNR,,SC/PA,,25,NA,1,NA,0.0947,aboveground_biomass,223.0164542,min_dbh,5,,NA,,,NA,,biome-specific
644,8959,9,1097,Lacandona,SNR,,SC/PA,,25,NA,1,NA,0.0947,aboveground_biomass,348.1755394,min_dbh,5,,NA,,,NA,,biome-specific
645,8960,9,1097,Lacandona,SNR,,SC/PA,,25,NA,1,NA,0.0947,aboveground_biomass,28.62370394,min_dbh,5,,NA,,,NA,,biome-specific
646,8961,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,220.4678317,min_dbh,5,,NA,,,NA,,biome-specific
647,8962,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,133.461058,min_dbh,5,,NA,,,NA,,biome-specific
648,8963,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,194.4570619,min_dbh,5,,NA,,,NA,,biome-specific
649,8964,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,146.0023947,min_dbh,5,,NA,,,NA,,biome-specific
650,8965,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,765.6833134,min_dbh,5,,NA,,,NA,,biome-specific
651,8966,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,276.8351548,min_dbh,5,,NA,,,NA,,biome-specific
652,8967,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,961.0598778,min_dbh,5,,NA,,,NA,,biome-specific
653,8968,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,398.2549944,min_dbh,5,,NA,,,NA,,biome-specific
654,8969,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,284.6669026,min_dbh,5,,NA,,,NA,,biome-specific
655,8970,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,249.4286463,min_dbh,5,,NA,,,NA,,biome-specific
656,8971,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,170.5823896,min_dbh,5,,NA,,,NA,,biome-specific
657,8972,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,558.6630485,min_dbh,5,,NA,,,NA,,biome-specific
658,8973,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,96.65523527,min_dbh,5,,NA,,,NA,,biome-specific
659,8974,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,89.39314101,min_dbh,5,,NA,,,NA,,biome-specific
660,8975,9,1097,Lacandona,SNR,,SC/PA,,30,NA,1,NA,0.0947,aboveground_biomass,271.2796162,min_dbh,5,,NA,,,NA,,biome-specific
661,8976,9,1097,Lacandona,SNR,,SC/PA,,31,NA,1,NA,0.0947,aboveground_biomass,444.9876661,min_dbh,5,,NA,,,NA,,biome-specific
662,8977,9,1097,Lacandona,SNR,,SC/PA,,31,NA,1,NA,0.0947,aboveground_biomass,906.0806626,min_dbh,5,,NA,,,NA,,biome-specific
663,8978,9,1097,Lacandona,SNR,,SC/PA,,31,NA,1,NA,0.0947,aboveground_biomass,676.4034155,min_dbh,5,,NA,,,NA,,biome-specific
12878,8796,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",35,NA,1,NA,0.05,aboveground_biomass,279.1566672,min_dbh,5,,NA,,,9438,,biome-specific
12879,8797,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",37,NA,1,NA,0.05,aboveground_biomass,179.6022613,min_dbh,5,,NA,,,9438,,biome-specific
12880,8798,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",37,NA,1,NA,0.05,aboveground_biomass,59.41228778,min_dbh,5,,NA,,,9438,,biome-specific
12881,8799,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",59,NA,1,NA,0.05,aboveground_biomass,292.5862449,min_dbh,5,,NA,,,6805,,biome-specific
12882,8800,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",60,NA,1,NA,0.05,aboveground_biomass,365.9325081,min_dbh,5,,NA,,,6805,,biome-specific
12883,8801,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",76,NA,2,NA,0.05,aboveground_biomass,458.1849921,min_dbh,5,,NA,,,6630,,biome-specific
3411,43,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",9,NA,1,NA,0.05,aboveground_biomass,11.85937191,min_dbh,5,,NA,,,7704,,biome-specific
3412,44,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",10,NA,1,NA,0.05,aboveground_biomass,21.53440554,min_dbh,5,,NA,,,8427,,biome-specific
3413,45,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",14,NA,1,NA,0.05,aboveground_biomass,66.1826802,min_dbh,5,,NA,,,NA,,biome-specific
3414,46,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",15,NA,1,NA,0.05,aboveground_biomass,123.919811,min_dbh,5,,NA,,,NA,,biome-specific
3415,47,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",20,NA,1,NA,0.05,aboveground_biomass,282.2507386,min_dbh,5,,NA,,,NA,,biome-specific
3416,48,10,9783,Luquillo,SNR,,PA,"cane/coffee abandoned, then pasture",25,NA,2,NA,0.05,aboveground_biomass,219.6940146,min_dbh,5,,NA,,,11526,,biome-specific
664,8979,11,1097,Marques de Comillas,SNR,,SC/PA,,2,NA,1,NA,0.0947,aboveground_biomass,34.81299925,min_dbh,5,,NA,,,NA,,biome-specific
665,8980,11,1097,Marques de Comillas,SNR,,SC/PA,,3,NA,1,NA,0.0947,aboveground_biomass,88.36174924,min_dbh,5,,NA,,,NA,,biome-specific
666,8981,11,1097,Marques de Comillas,SNR,,SC/PA,,3,NA,1,NA,0.0947,aboveground_biomass,65.57524011,min_dbh,5,,NA,,,NA,,biome-specific
667,8982,11,1097,Marques de Comillas,SNR,,SC/PA,,3,NA,1,NA,0.0947,aboveground_biomass,135.2329635,min_dbh,5,,NA,,,NA,,biome-specific
668,8983,11,1097,Marques de Comillas,SNR,,SC/PA,,3,NA,1,NA,0.0947,aboveground_biomass,130.8418273,min_dbh,5,,NA,,,NA,,biome-specific
669,8984,11,1097,Marques de Comillas,SNR,,SC/PA,,3,NA,1,NA,0.0947,aboveground_biomass,254.0035361,min_dbh,5,,NA,,,NA,,biome-specific
670,8985,11,1097,Marques de Comillas,SNR,,SC/PA,,3,NA,1,NA,0.0947,aboveground_biomass,468.4791734,min_dbh,5,,NA,,,NA,,biome-specific
671,8986,11,1097,Marques de Comillas,SNR,,SC/PA,,3,NA,1,NA,0.0947,aboveground_biomass,78.82917521,min_dbh,5,,NA,,,NA,,biome-specific
672,8987,11,1097,Marques de Comillas,SNR,,SC/PA,,4,NA,1,NA,0.0947,aboveground_biomass,148.773796,min_dbh,5,,NA,,,NA,,biome-specific
673,8988,11,1097,Marques de Comillas,SNR,,SC/PA,,4,NA,1,NA,0.0947,aboveground_biomass,572.2262695,min_dbh,5,,NA,,,NA,,biome-specific
674,8989,11,1097,Marques de Comillas,SNR,,SC/PA,,4,NA,1,NA,0.0947,aboveground_biomass,14.23064471,min_dbh,5,,NA,,,NA,,biome-specific
675,8990,11,1097,Marques de Comillas,SNR,,SC/PA,,4,NA,1,NA,0.0947,aboveground_biomass,81.00115435,min_dbh,5,,NA,,,NA,,biome-specific
676,8991,11,1097,Marques de Comillas,SNR,,SC/PA,,4,NA,1,NA,0.0947,aboveground_biomass,243.8766954,min_dbh,5,,NA,,,NA,,biome-specific
677,8992,11,1097,Marques de Comillas,SNR,,SC/PA,,5,NA,1,NA,0.0947,aboveground_biomass,28.68800271,min_dbh,5,,NA,,,NA,,biome-specific
678,8993,11,1097,Marques de Comillas,SNR,,SC/PA,,5,NA,1,NA,0.0947,aboveground_biomass,267.9481488,min_dbh,5,,NA,,,NA,,biome-specific
679,8994,11,1097,Marques de Comillas,SNR,,SC/PA,,5,NA,1,NA,0.0947,aboveground_biomass,138.7163574,min_dbh,5,,NA,,,NA,,biome-specific
680,8995,11,1097,Marques de Comillas,SNR,,SC/PA,,5,NA,1,NA,0.0947,aboveground_biomass,301.1663105,min_dbh,5,,NA,,,NA,,biome-specific
681,8996,11,1097,Marques de Comillas,SNR,,SC/PA,,5,NA,1,NA,0.0947,aboveground_biomass,299.7546805,min_dbh,5,,NA,,,NA,,biome-specific
682,8997,11,1097,Marques de Comillas,SNR,,SC/PA,,5,NA,1,NA,0.0947,aboveground_biomass,219.5158179,min_dbh,5,,NA,,,NA,,biome-specific
683,8998,11,1097,Marques de Comillas,SNR,,SC/PA,,6,NA,1,NA,0.0947,aboveground_biomass,65.892292,min_dbh,5,,NA,,,NA,,biome-specific
684,8999,11,1097,Marques de Comillas,SNR,,SC/PA,,6,NA,1,NA,0.0947,aboveground_biomass,122.4156567,min_dbh,5,,NA,,,NA,,biome-specific
685,9000,11,1097,Marques de Comillas,SNR,,SC/PA,,6,NA,1,NA,0.0947,aboveground_biomass,87.64879956,min_dbh,5,,NA,,,NA,,biome-specific
686,9001,11,1097,Marques de Comillas,SNR,,SC/PA,,6,NA,1,NA,0.0947,aboveground_biomass,83.99351983,min_dbh,5,,NA,,,NA,,biome-specific
687,9002,11,1097,Marques de Comillas,SNR,,SC/PA,,7,NA,1,NA,0.0947,aboveground_biomass,179.4829413,min_dbh,5,,NA,,,NA,,biome-specific
688,9003,11,1097,Marques de Comillas,SNR,,SC/PA,,8,NA,1,NA,0.0947,aboveground_biomass,89.26353729,min_dbh,5,,NA,,,NA,,biome-specific
689,9004,11,1097,Marques de Comillas,SNR,,SC/PA,,8,NA,1,NA,0.0947,aboveground_biomass,144.0838467,min_dbh,5,,NA,,,NA,,biome-specific
690,9005,11,1097,Marques de Comillas,SNR,,SC/PA,,8,NA,1,NA,0.0947,aboveground_biomass,151.3517901,min_dbh,5,,NA,,,NA,,biome-specific
691,9006,11,1097,Marques de Comillas,SNR,,SC/PA,,8,NA,1,NA,0.0947,aboveground_biomass,125.2047228,min_dbh,5,,NA,,,NA,,biome-specific
692,9007,11,1097,Marques de Comillas,SNR,,SC/PA,,8,NA,1,NA,0.0947,aboveground_biomass,202.6352516,min_dbh,5,,NA,,,NA,,biome-specific
693,9008,11,1097,Marques de Comillas,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,99.84493852,min_dbh,5,,NA,,,NA,,biome-specific
694,9009,11,1097,Marques de Comillas,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,93.47822574,min_dbh,5,,NA,,,NA,,biome-specific
695,9010,11,1097,Marques de Comillas,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,193.4577528,min_dbh,5,,NA,,,NA,,biome-specific
696,9011,11,1097,Marques de Comillas,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,133.1708356,min_dbh,5,,NA,,,NA,,biome-specific
697,9012,11,1097,Marques de Comillas,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,65.80285981,min_dbh,5,,NA,,,NA,,biome-specific
698,9013,11,1097,Marques de Comillas,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,98.23375021,min_dbh,5,,NA,,,NA,,biome-specific
699,9014,11,1097,Marques de Comillas,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,259.2381029,min_dbh,5,,NA,,,NA,,biome-specific
700,9015,11,1097,Marques de Comillas,SNR,,SC/PA,,10,NA,1,NA,0.0947,aboveground_biomass,102.7365758,min_dbh,5,,NA,,,NA,,biome-specific
701,9016,11,1097,Marques de Comillas,SNR,,SC/PA,,12,NA,1,NA,0.0947,aboveground_biomass,278.1539533,min_dbh,5,,NA,,,NA,,biome-specific
702,9017,11,1097,Marques de Comillas,SNR,,SC/PA,,12,NA,1,NA,0.0947,aboveground_biomass,93.56285108,min_dbh,5,,NA,,,NA,,biome-specific
703,9018,11,1097,Marques de Comillas,SNR,,SC/PA,,12,NA,1,NA,0.0947,aboveground_biomass,107.7831615,min_dbh,5,,NA,,,NA,,biome-specific
704,9019,11,1097,Marques de Comillas,SNR,,SC/PA,,12,NA,1,NA,0.0947,aboveground_biomass,120.038182,min_dbh,5,,NA,,,NA,,biome-specific
705,9020,11,1097,Marques de Comillas,SNR,,SC/PA,,12,NA,1,NA,0.0947,aboveground_biomass,226.007874,min_dbh,5,,NA,,,NA,,biome-specific
706,9021,11,1097,Marques de Comillas,SNR,,SC/PA,,12,NA,1,NA,0.0947,aboveground_biomass,179.2446971,min_dbh,5,,NA,,,NA,,biome-specific
707,9022,11,1097,Marques de Comillas,SNR,,SC/PA,,12,NA,1,NA,0.0947,aboveground_biomass,159.7993624,min_dbh,5,,NA,,,NA,,biome-specific
708,9023,11,1097,Marques de Comillas,SNR,,SC/PA,,12,NA,1,NA,0.0947,aboveground_biomass,237.7910664,min_dbh,5,,NA,,,NA,,biome-specific
709,9024,11,1097,Marques de Comillas,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,139.0469963,min_dbh,5,,NA,,,NA,,biome-specific
710,9025,11,1097,Marques de Comillas,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,140.8303724,min_dbh,5,,NA,,,NA,,biome-specific
711,9026,11,1097,Marques de Comillas,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,204.1509373,min_dbh,5,,NA,,,NA,,biome-specific
712,9027,11,1097,Marques de Comillas,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,186.4148938,min_dbh,5,,NA,,,NA,,biome-specific
713,9028,11,1097,Marques de Comillas,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,150.908145,min_dbh,5,,NA,,,NA,,biome-specific
714,9029,11,1097,Marques de Comillas,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,139.0105539,min_dbh,5,,NA,,,NA,,biome-specific
715,9030,11,1097,Marques de Comillas,SNR,,SC/PA,,15,NA,1,NA,0.0947,aboveground_biomass,523.4363731,min_dbh,5,,NA,,,NA,,biome-specific
