"measurement.ID","sites.sitename","plot.name","stand.age","dominant.life.form","dominant.veg","scientific.name","veg.notes","variable.name","date","date.loc","start.date","start.date.loc","end.date","end.date.loc","mean","n","stat.name","stat","area.sampled","notes","method.ID","allometry_1","allometry_2","min.dbh","depth","covariate_1","coV_1.value","covariate_2","coV_2.value","conflicts","R.group","S.group","D.group","D.precedence","conflict.type","conflicts.notes","citation.ID","loaded.from","source.notes","measurement.ID.v1","loaded.by","checked.ori.pub","ForC.investigator","required.citations","flag.suspicious","NEW_RECORD","coV1_value","coV_1.value.1","coV2_value"
17603,"Matupi - T village","regrowth stand regenerating via spontaneous natural regeneration","1","woody","NAC",NA,NA,"biomass_ag_OM","2013",8,NA,9,NA,9,1.01,"4",NA,NA,"0.04","Biomass allometries: site-specific harvest.",NA,"NAC",NA,"NAC","NAC","min_height","1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chan_2016_ttaf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17604,"Matupi - T village","regrowth stand regenerating via spontaneous natural regeneration","1","woody","NAC",NA,NA,"biomass_ag_understory_OM","2013",8,NA,9,NA,9,3.74,"4",NA,NA,"0.04","Biomass allometries: site-specific harvest. 5 sample(s) per plot.",NA,"NAC",NA,"NAC","NAC","max_height","1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chan_2016_ttaf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17605,"Matupi - P village","regrowth stand regenerating via spontaneous natural regeneration","8","woody","NAC",NA,NA,"biomass_ag_OM","2013",8,NA,9,NA,9,15.52,"3",NA,NA,"0.03","Biomass allometries: site-specific harvest.",NA,"NAC",NA,"NAC","NAC","min_height","1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chan_2016_ttaf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17606,"Matupi - P village","regrowth stand regenerating via spontaneous natural regeneration","8","woody","NAC",NA,NA,"biomass_ag_understory_OM","2013",8,NA,9,NA,9,0.18,"3",NA,NA,"0.03","Biomass allometries: site-specific harvest. 5 sample(s) per plot.",NA,"NAC",NA,"NAC","NAC","max_height","1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chan_2016_ttaf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17607,"Tapajós National Forest - SSA","regrowth stand regenerating via spontaneous natural regeneration","15","woody","NAC",NA,NA,"biomass_ag_OM","2012",8,NA,9,NA,9,109.85,"4",NA,NA,"1","Biomass allometries: biome-specific; species-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silva_2016_faso",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,10,NA,NA
17608,"Tapajós National Forest - SSInt","regrowth stand regenerating via spontaneous natural regeneration","10.5","woody","NAC",NA,NA,"biomass_ag_OM","2012",8,NA,9,NA,9,75.06,"13",NA,NA,"1.3","Biomass allometries: biome-specific; species-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silva_2016_faso",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,5,NA,NA
17609,"Tapajós National Forest - SSI","regrowth stand regenerating via spontaneous natural regeneration","5","woody","NAC",NA,NA,"biomass_ag_OM","2012",8,NA,9,NA,9,14.97,"11",NA,NA,"1.1","Biomass allometries: biome-specific; species-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silva_2016_faso",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,5,NA,NA
17610,"Lianjiabian Forest Farm chronosequence 3","regrowth stand regenerating via spontaneous natural regeneration","11","woody","NAC",NA,NA,"biomass_ag_OM","2012",8,NA,9,NA,9,0.7,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17611,"Lianjiabian Forest Farm chronosequence 3","regrowth stand regenerating via spontaneous natural regeneration","11","woody","NAC",NA,NA,"biomass_root_OM","2012",8,NA,9,NA,9,1.1,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,"NAC","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17612,"Zhifanggou watershed chronosequence 5","regrowth stand regenerating via spontaneous natural regeneration","1","woody","NAC",NA,NA,"biomass_ag_OM","2011",8,NA,9,NA,9,0.9,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17613,"Zhifanggou watershed chronosequence 11","regrowth stand regenerating via spontaneous natural regeneration","7","woody","NAC",NA,NA,"biomass_ag_OM","2011",8,NA,9,NA,9,0.9,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17614,"Zhifanggou watershed chronosequence 17","regrowth stand regenerating via spontaneous natural regeneration","13","woody","NAC",NA,NA,"biomass_ag_OM","2011",8,NA,9,NA,9,1.4,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17615,"Zhifanggou watershed chronosequence 23","regrowth stand regenerating via spontaneous natural regeneration","20","woody","NAC",NA,NA,"biomass_ag_OM","2011",8,NA,9,NA,9,1.6,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17616,"Zhifanggou watershed chronosequence 29","regrowth stand regenerating via spontaneous natural regeneration","30","woody","NAC",NA,NA,"biomass_ag_OM","2011",8,NA,9,NA,9,2,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17617,"Zhifanggou watershed chronosequence 6","regrowth stand regenerating via spontaneous natural regeneration","1","woody","NAC",NA,NA,"biomass_root_OM","2011",8,NA,9,NA,9,0.3,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,"NAC","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17618,"Zhifanggou watershed chronosequence 12","regrowth stand regenerating via spontaneous natural regeneration","7","woody","NAC",NA,NA,"biomass_root_OM","2011",8,NA,9,NA,9,0.6,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,"NAC","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17619,"Zhifanggou watershed chronosequence 18","regrowth stand regenerating via spontaneous natural regeneration","13","woody","NAC",NA,NA,"biomass_root_OM","2011",8,NA,9,NA,9,1,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,"NAC","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17620,"Zhifanggou watershed chronosequence 24","regrowth stand regenerating via spontaneous natural regeneration","20","woody","NAC",NA,NA,"biomass_root_OM","2011",8,NA,9,NA,9,2.6,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,"NAC","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17621,"Zhifanggou watershed chronosequence 30","regrowth stand regenerating via spontaneous natural regeneration","30","woody","NAC",NA,NA,"biomass_root_OM","2011",8,NA,9,NA,9,4.9,"3",NA,NA,"0.12","Biomass allometries: forest type-specific. 1 sample(s) per plot.",NA,"NAC",NA,"NAC","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang_2016_doec",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17622,"Ashibetsu P1","regrowth stand regenerating via spontaneous natural regeneration","9","woody","NAC",NA,"Betula spp.","biomass_ag_OM","1985",8,NA,9,NA,9,9.9,"1",NA,NA,"0.0025","Biomass allometries: forest-type specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17623,"Ashibetsu P1","regrowth stand regenerating via spontaneous natural regeneration","9","woody","NAC",NA,"Betula spp.","stand.density","1985",8,NA,9,NA,9,20800,"1",NA,NA,"0.0025","Biomass allometries: forest-type specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17624,"Ashibetsu P2","regrowth stand regenerating via spontaneous natural regeneration","9","woody","NAC",NA,"Betula spp.","biomass_ag_OM","1985",8,NA,9,NA,9,18.5,"1",NA,NA,"0.0025","Biomass allometries: forest-type specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17625,"Ashibetsu P2","regrowth stand regenerating via spontaneous natural regeneration","9","woody","NAC",NA,"Betula spp.","stand.density","1985",8,NA,9,NA,9,30000,"1",NA,NA,"0.0025","Biomass allometries: forest-type specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17626,"Ashibetsu P3","regrowth stand regenerating via spontaneous natural regeneration","9","woody","NAC",NA,"Betula spp.","biomass_ag_OM","1985",8,NA,9,NA,9,15.1,"1",NA,NA,"0.0025","Biomass allometries: forest-type specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17627,"Ashibetsu P3","regrowth stand regenerating via spontaneous natural regeneration","9","woody","NAC",NA,"Betula spp.","stand.density","1985",8,NA,9,NA,9,22000,"1",NA,NA,"0.0025","Biomass allometries: forest-type specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17628,"Tohbetsu P4","regrowth stand regenerating via spontaneous natural regeneration","10","woody","NAC",NA,"Betula spp.","biomass_ag_OM","1981",8,NA,9,NA,9,19.5,"1",NA,NA,"0.01","Biomass allometries: forest-type specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17629,"Tohbetsu P4","regrowth stand regenerating via spontaneous natural regeneration","10","woody","NAC",NA,"Betula spp.","stand.density","1981",8,NA,9,NA,9,6800,"1",NA,NA,"0.01","Biomass allometries: forest-type specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17630,"Okoppe P6","regrowth stand regenerating via spontaneous natural regeneration","20","woody","NAC",NA,"Betula spp.; Quercus spp.","biomass_ag_OM","1973",8,NA,9,NA,9,45.3,"1",NA,NA,"0.01","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17631,"Okoppe P6","regrowth stand regenerating via spontaneous natural regeneration","20","woody","NAC",NA,"Betula spp.; Quercus spp.","stand.density","1973",8,NA,9,NA,9,13700,"1",NA,NA,"0.01","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17632,"Okoppe P7","regrowth stand regenerating via spontaneous natural regeneration","20","woody","NAC",NA,"Betula spp.; Quercus spp.","biomass_ag_OM","1973",8,NA,9,NA,9,38.6,"1",NA,NA,"0.04","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17633,"Okoppe P7","regrowth stand regenerating via spontaneous natural regeneration","20","woody","NAC",NA,"Betula spp.; Quercus spp.","stand.density","1973",8,NA,9,NA,9,6625,"1",NA,NA,"0.04","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17634,"Bibai P8","regrowth stand regenerating via spontaneous natural regeneration","20","woody","NAC",NA,"Betula spp.; Quercus spp.","biomass_ag_OM","1983",8,NA,9,NA,9,45.5,"1",NA,NA,"0.1","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17635,"Bibai P8","regrowth stand regenerating via spontaneous natural regeneration","20","woody","NAC",NA,"Betula spp.; Quercus spp.","stand.density","1983",8,NA,9,NA,9,3890,"1",NA,NA,"0.1","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17636,"P9","regrowth stand regenerating via spontaneous natural regeneration","62","woody","NAC",NA,"Betula spp.; Quercus spp.","biomass_ag_OM","1973",8,NA,9,NA,9,63.3,"1",NA,NA,"0.2","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17637,"P9","regrowth stand regenerating via spontaneous natural regeneration","62","woody","NAC",NA,"Betula spp.; Quercus spp.","stand.density","1973",8,NA,9,NA,9,705,"1",NA,NA,"0.2","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17638,"P10","regrowth stand regenerating via spontaneous natural regeneration","62","woody","NAC",NA,"Betula spp.; Quercus spp.","biomass_ag_OM","1973",8,NA,9,NA,9,98,"1",NA,NA,"0.2","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17639,"P10","regrowth stand regenerating via spontaneous natural regeneration","62","woody","NAC",NA,"Betula spp.; Quercus spp.","stand.density","1973",8,NA,9,NA,9,1155,"1",NA,NA,"0.2","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17640,"P11","regrowth stand regenerating via spontaneous natural regeneration","90","woody","NAC",NA,"Quercus spp.","biomass_ag_OM","1975",8,NA,9,NA,9,213.7,"1",NA,NA,"0.25","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17641,"P11","regrowth stand regenerating via spontaneous natural regeneration","90","woody","NAC",NA,"Quercus spp.","stand.density","1975",8,NA,9,NA,9,2205,"1",NA,NA,"0.25","Biomass allometries: country-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishihara_2016_anmf",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17642,"Kakamega Forest","regrowth stand regenerating via spontaneous natural regeneration","63","woody","NAC",NA,NA,"biomass_ag_OM","2015",8,NA,9,NA,9,391.6,"15",NA,NA,"4.2","Biomass allometries: biome-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otuoma_2016_doac",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,1,NA,NA
17643,"Kakamega Forest","regrowth stand regenerating via spontaneous natural regeneration","63","woody","NAC",NA,NA,"stand.density","2015",8,NA,9,NA,9,4570,"15",NA,NA,"4.2","Biomass allometries: biome-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otuoma_2016_doac",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,1,NA,NA
